serial_no,town_village,toponym_en,nechropoleis_tombs,chronology,average_points,x,y,agriculture_100m,archaeological_100m,infrastructure_100m,urban_100m,not_classified_100m,Points_100m,agriculture_250m,archaeological_250m,infrastructure_250m,urban_250m,not_classified_250m,Points_250m,agriculture_500m,archaeological_500m,infrastructure_500m,urban_500m,not_classified_500m,Points_500m
37,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
38,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
111,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
112,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
136,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
137,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
138,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
139,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
140,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
141,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
142,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
143,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
148,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
162,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
191,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
197,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
210,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
211,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
212,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
226,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
227,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
242,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
243,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
247,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
264,Agios Serghios,Koumentelis,N,H,0.00,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00,0.00%,0.00%,0.00%,0.00%,100.00%,0.00
